"sampleID","stn","year","obstime","decimal_date","lat","lon","Salin","Temp","Ptot","Ntot","stnDepth","dist","Location"
4698,125,1972,1972-06-05,1972.4262295082,60.098,24.892,5.52,8.9,0.613,24.286,28,5727,"Outer"
17039,75,1972,1972-06-05,1972.4262295082,60.158,24.831,5.16,12.9,1.161,48.571,8,649,"Outer"
17465,87,1972,1972-06-05,1972.4262295082,60.193,24.848,3.98,14.95,5.323,150,3.5,423,"Inner"
19300,140,1972,1972-06-05,1972.4262295082,60.172,24.842,4.775,13.4,3.548,90.714,3.5,376,"Inner"
4215,107,1972,1972-06-12,1972.44535519126,60.113,24.768,5.39,11.675,0.548,30,18,1666,"Outer"
4699,125,1972,1972-06-12,1972.44535519126,60.098,24.892,5.39,11.4,0.839,78.571,28,5727,"Outer"
5490,122,1972,1972-06-12,1972.44535519126,60.058,24.706,5.46,11.1,0.613,44.286,41,5425,"Outer"
17040,75,1972,1972-06-12,1972.44535519126,60.158,24.831,5.23,13,1.194,39.286,8,649,"Outer"
17466,87,1972,1972-06-12,1972.44535519126,60.193,24.848,4.065,17.7,7.097,157.143,3.5,423,"Inner"
19301,140,1972,1972-06-12,1972.44535519126,60.172,24.842,4.42,17.2,6.774,100,3.5,376,"Inner"
2705,36,1972,1972-06-14,1972.45081967213,60.147,25.137,5.12,14.2,0.935,30,33,2665,"Outer"
3412,114,1972,1972-06-14,1972.45081967213,60.082,25.125,5.25,12.2,0.774,26.429,47,8515,"Outer"
16024,4,1972,1972-06-14,1972.45081967213,60.193,24.991,3.25,15.5,14.516,207.143,2.5,329,"Inner"
4216,107,1972,1972-06-26,1972.48360655738,60.113,24.768,5.285,16.35,1.226,40.714,18,1666,"Outer"
4700,125,1972,1972-06-26,1972.48360655738,60.098,24.892,5.32,15.3,1.419,52.857,28,5727,"Outer"
5491,122,1972,1972-06-26,1972.48360655738,60.058,24.706,5.41,14.9,0.645,31.429,41,5425,"Outer"
17041,75,1972,1972-06-26,1972.48360655738,60.158,24.831,5.26,17.8,1.581,41.429,8,649,"Outer"
17467,87,1972,1972-06-26,1972.48360655738,60.193,24.848,4.305,20.15,12.903,50.714,3.5,423,"Inner"
19302,140,1972,1972-06-26,1972.48360655738,60.172,24.842,4.69,19.45,8.387,100,3.5,376,"Inner"
2706,36,1972,1972-06-28,1972.48907103825,60.147,25.137,5.21,19.4,0.742,31.429,33,2665,"Outer"
3413,114,1972,1972-06-28,1972.48907103825,60.082,25.125,5.03,18.1,0.645,37.143,47,8515,"Outer"
16025,4,1972,1972-06-28,1972.48907103825,60.193,24.991,3.74,20.55,1.935,50.714,2.5,329,"Inner"
4217,107,1972,1972-07-10,1972.5218579235,60.113,24.768,5.1475,20.225,1.935,41.429,18,1666,"Outer"
4702,125,1972,1972-07-10,1972.5218579235,60.098,24.892,5.1,19.4,0.903,42.857,28,5727,"Outer"
5492,122,1972,1972-07-10,1972.5218579235,60.058,24.706,5.16,19.4,0.935,36.429,41,5425,"Outer"
17042,75,1972,1972-07-10,1972.5218579235,60.158,24.831,5.08,21.9,2.258,49.286,8,649,"Outer"
17469,87,1972,1972-07-10,1972.5218579235,60.193,24.848,4.5,22.7,15.806,92.857,3.5,423,"Inner"
19304,140,1972,1972-07-10,1972.5218579235,60.172,24.842,4.84,22.2,10.645,61.429,3.5,376,"Inner"
2707,36,1972,1972-07-12,1972.52732240437,60.147,25.137,5.03,21,0.903,48.571,33,2665,"Outer"
3414,114,1972,1972-07-12,1972.52732240437,60.082,25.125,4.94,21,0.71,50,47,8515,"Outer"
16026,4,1972,1972-07-12,1972.52732240437,60.193,24.991,2.38,23.6,16.129,54.286,2.5,329,"Inner"
4218,107,1972,1972-07-24,1972.56010928962,60.113,24.768,5.57,12.975,1.032,35.714,18,1666,"Outer"
4703,125,1972,1972-07-24,1972.56010928962,60.098,24.892,5.52,14.2,0.935,39.286,28,5727,"Outer"
5493,122,1972,1972-07-24,1972.56010928962,60.058,24.706,5.61,13.1,0.581,30.714,41,5425,"Outer"
17043,75,1972,1972-07-24,1972.56010928962,60.158,24.831,5.46,15,1.645,40,8,649,"Outer"
17470,87,1972,1972-07-24,1972.56010928962,60.193,24.848,4.58,22,16.129,57.143,3.5,423,"Inner"
19306,140,1972,1972-07-24,1972.56010928962,60.172,24.842,5.25,18.9,8.387,78.571,3.5,376,"Inner"
2708,36,1972,1972-07-26,1972.56557377049,60.147,25.137,5.43,15.6,0.839,35,33,2665,"Outer"
3415,114,1972,1972-07-26,1972.56557377049,60.082,25.125,5.43,17.8,0.806,30,47,8515,"Outer"
3416,114,1972,1972-07-26,1972.56557377049,60.082,25.125,5.43,17.8,0.806,30,47,8515,"Outer"
16027,4,1972,1972-07-26,1972.56557377049,60.193,24.991,3.86,20.7,16.452,54.286,2.5,329,"Inner"
4704,125,1972,1972-08-07,1972.59836065574,60.098,24.892,5.46,17.5,0.677,29.286,28,5727,"Outer"
17471,87,1972,1972-08-07,1972.59836065574,60.193,24.848,4.65,20.45,12.581,170.357,3.5,423,"Inner"
4219,107,1972,1972-08-14,1972.6174863388,60.113,24.768,5.73,12.975,2.032,40.714,18,1666,"Outer"
4705,125,1972,1972-08-14,1972.6174863388,60.098,24.892,5.75,12.9,1.29,37.857,28,5727,"Outer"
5494,122,1972,1972-08-14,1972.6174863388,60.058,24.706,5.63,14.6,1.097,24.286,41,5425,"Outer"
17044,75,1972,1972-08-14,1972.6174863388,60.158,24.831,5.59,14.2,1.806,32.143,8,649,"Outer"
17472,87,1972,1972-08-14,1972.6174863388,60.193,24.848,4.12,18.15,12.903,264.286,3.5,423,"Inner"
19307,140,1972,1972-08-14,1972.6174863388,60.172,24.842,4.785,18.4,8.71,164.286,3.5,376,"Inner"
2709,36,1972,1972-08-16,1972.62295081967,60.147,25.137,5.64,14,0.839,30.714,33,2665,"Outer"
3417,114,1972,1972-08-16,1972.62295081967,60.082,25.125,5.57,13.8,0.548,26.429,47,8515,"Outer"
16028,4,1972,1972-08-16,1972.62295081967,60.193,24.991,0.495,16.6,15.161,350,2.5,329,"Inner"
4220,107,1972,1972-08-28,1972.65573770492,60.113,24.768,5.54,15.65,1.355,41.429,18,1666,"Outer"
4706,125,1972,1972-08-28,1972.65573770492,60.098,24.892,5.46,15.3,0.742,28.571,28,5727,"Outer"
17045,75,1972,1972-08-28,1972.65573770492,60.158,24.831,5.37,16.1,2.129,52.857,8,649,"Outer"
19308,140,1972,1972-08-28,1972.65573770492,60.172,24.842,4.65,16.6,8.065,171.429,3.5,376,"Inner"
2710,36,1972,1972-08-30,1972.66120218579,60.147,25.137,5.28,15.7,0.839,35.714,33,2665,"Outer"
3418,114,1972,1972-08-30,1972.66120218579,60.082,25.125,5.35,15.4,0.516,24.286,47,8515,"Outer"
4221,107,1972,1972-09-11,1972.69398907104,60.113,24.768,5.845,11.7,1,37.143,18,1666,"Outer"
4707,125,1972,1972-09-11,1972.69398907104,60.098,24.892,5.95,12,0.806,31.429,28,5727,"Outer"
5496,122,1972,1972-09-11,1972.69398907104,60.058,24.706,6.06,11.4,0.613,32.143,41,5425,"Outer"
17046,75,1972,1972-09-11,1972.69398907104,60.158,24.831,5.52,13.8,2.355,62.857,8,649,"Outer"
17476,87,1972,1972-09-11,1972.69398907104,60.193,24.848,4.41,15.15,8.065,235.714,3.5,423,"Inner"
19311,140,1972,1972-09-11,1972.69398907104,60.172,24.842,5.03,14.85,4.839,150,3.5,376,"Inner"
3419,114,1972,1972-09-13,1972.69945355191,60.082,25.125,5.84,13.1,0.806,23.571,47,8515,"Outer"
16029,4,1972,1972-09-13,1972.69945355191,60.193,24.991,1.98,14.25,10,642.857,2.5,329,"Inner"
4222,107,1972,1972-09-25,1972.73224043716,60.113,24.768,5.84,11.8,1.129,35,18,1666,"Outer"
4708,125,1972,1972-09-25,1972.73224043716,60.098,24.892,5.82,11.7,0.581,41.429,28,5727,"Outer"
5497,122,1972,1972-09-25,1972.73224043716,60.058,24.706,5.72,12.5,0.484,30.714,41,5425,"Outer"
17048,75,1972,1972-09-25,1972.73224043716,60.158,24.831,5.77,12.2,1.935,56.429,8,649,"Outer"
17477,87,1972,1972-09-25,1972.73224043716,60.193,24.848,4.63,12.05,9.355,200,3.5,423,"Inner"
19312,140,1972,1972-09-25,1972.73224043716,60.172,24.842,5.16,12.1,5.484,107.143,3.5,376,"Inner"
16030,4,1972,1972-09-27,1972.73770491803,60.193,24.991,4.735,10.2,8.387,150,2.5,329,"Inner"
4224,107,1973,1973-06-04,1973.42191780822,60.113,24.768,5.5,14.35,1.065,31.429,18,1666,"Outer"
4712,125,1973,1973-06-04,1973.42191780822,60.098,24.892,5.52,12.3,1.258,47.857,28,5727,"Outer"
5500,122,1973,1973-06-04,1973.42191780822,60.058,24.706,5.55,13.6,0.645,32.857,41,5425,"Outer"
17053,75,1973,1973-06-04,1973.42191780822,60.158,24.831,5.39,17.2,1.484,37.857,8,649,"Outer"
17483,87,1973,1973-06-04,1973.42191780822,60.193,24.848,4.605,17.55,11.29,107.143,3.5,423,"Inner"
2715,36,1973,1973-06-06,1973.42739726027,60.147,25.137,5.41,16.1,0.581,22.143,33,2665,"Outer"
