Species,Group
Peridiniella catenata,Dinoflagellates
Amylax triacantha,Dinoflagellates
Protoceratium reticulatum,Dinoflagellates
Apocalathium malmogiense,Dinoflagellates
Protoperidinium bipes,Dinoflagellates
Protoperidinium brevipes,Dinoflagellates
Protoperidinium granii,Dinoflagellates
Oblea rotunda,Dinoflagellates
Heterocapsa rotundata,Dinoflagellates
Kryptoperidinium triquetrum,Dinoflagellates
Dinophysis acuminata,Dinoflagellates
Dinophysis norvegica,Dinoflagellates
Phalacroma rotundatum,Dinoflagellates
Borghiella pascheri,Dinoflagellates
Plagioselmis prolonga,Cryptophytes
Rhodomonas lacustris,Cryptophytes
Telonema subtile,Telonemids
Thalassiosira baltica,Diatoms
Thalassiosira guillardii,Diatoms
Skeletonema subsalsum,Diatoms
Skeletonema marinoi,Diatoms
Cyclotella meneghiniana,Diatoms
Cyclotella glomerata f. glomerata,Diatoms
Chaetoceros danicus,Diatoms
Chaetoceros wighamii,Diatoms
Chaetoceros holsaticus,Diatoms
Chaetoceros ceratosporus,Diatoms
Pauliella taeniata,Diatoms
Licmophora gracilis,Diatoms
Nitzschia longissima,Diatoms
Nitzschia acicularis,Diatoms
Fragilariopsis cylindrus,Diatoms
Tabularia fasciculata,Diatoms
Diatoma tenuis,Diatoms
Rhoicosphenia abbreviata,Diatoms
Actinocyclus octonarius var. octonarius,Diatoms
Coscinodiscus granii,Diatoms
Rhizosolenia minima,Diatoms
Achnanthes pusilla,Diatoms
Ebria tripartita,Ebriales
Dinobryon faculiferum,Chrysophyceae
Apedinella radians,Pedinellales
Pseudopedinella thomsenii,Pedinellales
Mesodinium rubrum,Ciliates
Katablepharis ovalis,Kathablepharids
Aphanizomenon flosaquae,Cyanobacteria
Dolichospermum lemmermannii,Cyanobacteria
Anabaena inaequalis,Cyanobacteria
Nodularia spumigena,Cyanobacteria
Anabaenopsis elenkinii,Cyanobacteria
Pseudanabaena limnetica,Cyanobacteria
Merismopedia tranquilla,Cyanobacteria
Merismopedia warmingiana,Cyanobacteria
Merismopedia glauca,Cyanobacteria
Snowella lacustris,Cyanobacteria
Snowella septentrionalis,Cyanobacteria
Aphanocapsa reinboldii,Cyanobacteria
Planktothrix agardhii,Cyanobacteria
Woronichinia compacta,Cyanobacteria
Planktolyngbya limnetica,Cyanobacteria
Monoraphidium contortum,Green Algae
Monoraphidium mirabile,Green Algae
Monoraphidium minutum,Green Algae
Monoraphidium komarkovae,Green Algae
Raphidocelis danubiana,Green Algae
Ankistrodesmus arcuatus,Green Algae
Desmodesmus opoliensis,Green Algae
Desmodesmus bicellularis,Green Algae
Desmodesmus intermedius,Green Algae
Desmodesmus abundans,Green Algae
Tetradesmus obliquus,Green Algae
Tetradesmus lagerheimii,Green Algae
Scenedesmus quadricauda,Green Algae
Oocystis borgei,Green Algae
Oocystis lacustris,Green Algae
Mucidosphaerium pulchellum,Green Algae
Actinastrum hantzschii,Green Algae
Micractinium pusillum,Green Algae
Chlorella chlorelloides,Green Algae
Binuclearia lauterbornii,Green Algae
Koliella spiculiformis,Green Algae
