"Variable","Achnanthes pusilla","Actinastrum hantzschii","Actinocyclus octonarius var. octonarius","Amylax triacantha","Anabaena inaequalis","Anabaenopsis elenkinii","Ankistrodesmus arcuatus","Apedinella radians","Aphanizomenon flosaquae","Aphanocapsa reinboldii","Apocalathium malmogiense","Binuclearia lauterbornii","Borghiella pascheri","Chaetoceros ceratosporus","Chaetoceros danicus","Chaetoceros holsaticus","Chaetoceros wighamii","Chlorella chlorelloides","Coscinodiscus granii","Cyclotella glomerata f. glomerata","Cyclotella meneghiniana","Desmodesmus abundans","Desmodesmus bicellularis","Desmodesmus intermedius","Desmodesmus opoliensis","Diatoma tenuis","Dinobryon faculiferum","Dinophysis acuminata","Dinophysis norvegica","Dolichospermum lemmermannii","Ebria tripartita","Fragilariopsis cylindrus","Heterocapsa rotundata","Katablepharis ovalis","Koliella spiculiformis","Kryptoperidinium triquetrum","Licmophora gracilis","Merismopedia glauca","Merismopedia tranquilla","Merismopedia warmingiana","Mesodinium rubrum","Micractinium pusillum","Monoraphidium contortum","Monoraphidium komarkovae","Monoraphidium minutum","Monoraphidium mirabile","Mucidosphaerium pulchellum","Nitzschia acicularis","Nitzschia longissima","Nodularia spumigena","Oblea rotunda","Oocystis borgei","Oocystis lacustris","Pauliella taeniata","Peridiniella catenata","Phalacroma rotundatum","Plagioselmis prolonga","Planktolyngbya limnetica","Planktothrix agardhii","Protoceratium reticulatum","Protoperidinium bipes","Protoperidinium brevipes","Protoperidinium granii","Pseudanabaena limnetica","Pseudopedinella thomsenii","Raphidocelis danubiana","Rhizosolenia minima","Rhodomonas lacustris","Rhoicosphenia abbreviata","Scenedesmus quadricauda","Skeletonema marinoi","Skeletonema subsalsum","Snowella lacustris","Snowella septentrionalis","Tabularia fasciculata","Telonema subtile","Tetradesmus lagerheimii","Tetradesmus obliquus","Thalassiosira baltica","Thalassiosira guillardii","Woronichinia compacta"
"poly(Salin, 2, raw = TRUE)",0.0103770981300442,0.00416806355953453,0.0674670459557229,0.0494951190972422,0.0340297254607076,0.0331743470782464,0.00734581548057072,0.0145541044877005,0.00194868679705875,0.00992644784377651,0.014953576288027,0.0190031082651684,0.00923633310665246,0.0142309489660156,0.0426629804434074,0.00914586972494142,0.0540025200879671,0.0152102441586789,0.00764504798397959,0.00420129128057508,0.00589009748216635,0.00424117721302206,0.00661204746306364,0.0051927020951465,0.00419973811612818,0.049789543514916,0.183679328636784,0.0274047802926844,0.0581916440630616,0.0162857871031818,0.0231903986985611,0.00772244943046912,0.0105929146552995,0.00773935481988602,0.00560898730568987,0.0506782726101192,0.116017501122309,0.0110073483613399,0.0185655653806494,0.0534437515580341,0.0139586878620152,0.0193605545202401,0.0247342724071902,0.00823903913192057,0.0156061405295701,0.011222175928337,0.00641042164362786,0.0341995044994919,0.0077772558344743,0.0116308872567096,0.0326535713299906,0.00390463034097402,0.0078590768342739,0.00974542942266554,0.0193111593941753,0.0177734193972727,0.00277729135035401,0.0177313065071836,0.0167137956562423,0.0102787807111257,0.0428975698645838,0.01127583824791,0.0514581328076528,0.00411853749380179,0.00618007110790015,0.0148707837636278,0.0275482019499554,0.0152294705311572,0.0335512183785809,0.0091482850250856,0.0104615432897928,0.0574917569378637,0.00488217383762289,0.0228811846130912,0.0164777891725736,0.0389883772738019,0.00347256346063242,0.00484599649725982,0.0414186694432078,0.00605959178184613,0.0122143537535094
"poly(Temp, 2, raw = TRUE)",0.0351768418299772,0.0107856969404454,0.00767081672974705,0.428685453110514,0.0164735915256333,0.0126423890712511,0.04301967872315,0.0285022152582707,0.0373770102127304,0.0296773331438482,0.0163512778096665,0.0346527882034764,0.00239698315254808,0.0897544912964149,0.0186599455797487,0.097138937309699,0.19651089751092,0.0316919984134193,0.0125852956134253,0.0185988444376284,0.00963776772192773,0.00823891237200874,0.0129491441490889,0.0133035199818377,0.00676569941359809,0.116812371652717,0.0225810842081369,0.0473457590428296,0.0988938929106737,0.0644717149323563,0.0907637340256231,0.0464005369987196,0.00304272073671898,0.00749698063611193,0.00485095617625568,0.00909644720626352,0.0864768214102476,0.0176795988048457,0.015389665301327,0.016691943025116,0.00724968008434286,0.0260117492692626,0.14025690883304,0.0262904622499987,0.00784787341966648,0.0373234273138175,0.0570057726173224,0.0702497062360728,0.0743266436736313,0.224073725660057,0.0621889566497889,0.0236542295072067,0.0183509608335407,0.0872349588379874,0.0612944336122033,0.0502380091046479,0.00247806678723203,0.0186387816460809,0.0684207166990968,0.0231018552188116,0.231046096464115,0.149757380486748,0.219252237852922,0.028197799415003,0.00116359980317182,0.00506347834561126,0.0160659916684532,0.0349463254415721,0.0421143099013474,0.0124512820425043,0.286057661801766,0.0425039270040203,0.0146124891370383,0.00438994210401469,0.0489395758117899,0.0313710595988722,0.0416770510787604,0.0152827021058342,0.120208771508272,0.00453655692368581,0.0106378534355736
"poly(Ptot, 2, raw = TRUE)",0.0502679342241619,0.00216112735791065,0.226996544382248,0.101468438110241,0.0231854496643117,0.019413933763774,0.114633628261739,0.146552128355188,0.0152751493037972,0.0135699146686591,0.0138006094477319,0.0474934586835654,0.00599000389185087,0.00690570823095046,0.211439443583996,0.101133028980327,0.142987399850024,0.0215834622475621,0.167935902151987,0.00166612907087608,0.00724302939329166,0.00446202737327684,0.024238231272588,0.0145847281187832,0.00384637198992234,0.047235396225029,0.181440701739779,0.137844961178168,0.31673017332936,0.0607976654690318,0.192884546684845,0.00368290790432621,0.0748813836343856,0.108524634971396,0.120622131499144,0.0162123339715602,0.0419936189347671,0.00102463160363835,0.0190405880729664,0.0193153482937337,0.0529359484768853,0.0108824816082603,0.145813392734789,0.0163160670349742,0.0156878141778254,0.00390666426075322,0.00898212633451128,0.0249145050499074,0.0130692614366025,0.0286507150438806,0.0251578538433276,0.0184213558157847,0.00810190672640908,0.0350535763620583,0.0676179035639555,0.129203710571117,0.0394645104765967,0.0700077122826212,0.259860170397398,0.103035230907134,0.0227825447152906,0.0386691203771331,0.111596695168548,0.0980645398757392,0.0477813875697478,0.00525336999405943,0.158268843116732,0.0546466816660774,0.0288164829181349,0.00515779125603498,0.00498745071244546,0.202589007487196,0.00268783228708193,0.0391570435387997,0.00645967000123215,0.0715039498630983,0.0298846881038788,0.00325039368352828,0.0194918827236209,0.00242662027357756,0.0212395031830682
"poly(jday, 2, raw = TRUE)",0.0475475369322099,0.0259450624965183,0.161353137970348,0.020198513374332,0.136537162348657,0.226483621589318,0.025519612868398,0.0569923551659715,0.03720464756453,0.0366559119859002,0.0159972287760096,0.0081994014851648,0.00381781053345644,0.149699794729635,0.240901383393295,0.100040848421089,0.130196651907018,0.0443268635421652,0.369258637859341,0.0153610055391251,0.012370806976832,0.0329562209107574,0.00648505253856381,0.00914153300891381,0.0229455706254653,0.449807325580505,0.317469688908922,0.0877691199006731,0.22695541678324,0.228298884806347,0.149015378205645,0.0422111763226752,0.0158242093120213,0.00465302967418774,0.00581429534178827,0.0107918146093469,0.00760478832672296,0.024285406227523,0.0197872201933916,0.0467164255616944,0.00359904984946032,0.0583095756552926,0.252760816279111,0.0310175809363129,0.00583379798971326,0.0443186103156966,0.032982898686183,0.105022618279291,0.0646517521175246,0.294532601072903,0.196764657816636,0.0259633366507051,0.0221412894568492,0.173863261117941,0.629606824214516,0.193040263172783,0.00557728250605048,0.0124718671270053,0.0825274223358348,0.148007076108852,0.404221789278715,0.0513107087604135,0.131973982971328,0.0343762470755142,0.00476774664386627,0.00514543990633576,0.0280020776380834,0.014758566289622,0.077791521440198,0.03063410291785,0.425551001207255,0.0793302151812508,0.0111140062910334,0.0237461427601431,0.0451679002358533,0.0064006056932712,0.0812047427430599,0.0458850433292277,0.120342512461354,0.00431911008309872,0.0501636410452179
"poly(Mean_april_temp, 2, raw = TRUE)",0.0535800060987304,0.00906456221034284,0.0100121493352657,0.00548759082491547,0.0250071061809602,0.0133407272096681,0.0322152848323941,0.00851886315945267,0.00615420803087807,0.00796265882868969,0.00467676433740913,0.0381978032691291,0.00801103199293196,0.00853617696602116,0.0595018472353805,0.00952925488267199,0.0142863705628339,0.0133020080627781,0.0162267440038307,0.0171253626395313,0.0205526188283121,0.0151558473496157,0.0167682948228752,0.00917500663776894,0.00696611145212125,0.0116608824153477,0.00833413814605608,0.011133526639544,0.0158259582093499,0.0731277753689125,0.0694373001075672,0.022314643517912,0.00871051761525499,0.0227359856944508,0.0304914762804399,0.00893627171397023,0.0106935968084866,0.00980698040842846,0.0096440500342536,0.0348873965803723,0.00754953832092266,0.0226850016711983,0.00588307937865668,0.00440437484455741,0.00601815341759847,0.0143693287176757,0.0056950346197436,0.0173994021281311,0.00843146375737652,0.017372721969636,0.00995936117054053,0.0055428988859792,0.0128198989149861,0.0211514768441853,0.0353062657540684,0.0138347476580276,0.00601154471053294,0.00785038793093624,0.00777133111836867,0.0154340430967342,0.00421513083810726,0.00968745940853664,0.0231604215424104,0.0145907038574043,0.00488171058024046,0.0258783511543743,0.0170298132918307,0.0236899379927962,0.0283336824030205,0.00457620321318746,0.0115933053357657,0.0228529746372371,0.00645197696294155,0.0374053048966845,0.0475521256585533,0.0130636287075347,0.0068930772824707,0.00489801959092912,0.0629743746061462,0.00480690334434757,0.00686345635031575
"stnDepth",0.0101706036629347,0.00592043996900992,0.00854554442954311,0.00284787947474987,0.0029928914499954,0.0213343448217801,0.0540496796234642,0.0325036120709542,0.0480962365084395,0.00369162086237069,0.000791337367750906,0.0282604284884847,0.00139731923473728,0.0120145301027934,0.0180321284802425,0.0151489279371705,0.044423688498447,0.00579993356100317,0.0110733933197404,0.0300120637949039,0.00410579516944606,0.0409073706795997,0.0411684698020181,0.0567633194843115,0.0196783988330143,0.0148068108348342,0.0294866161387031,0.0408305570195199,0.00395570149337968,0.00759139524246058,0.00786419025926152,0.0124884318122377,0.00212953206045884,0.00557157281846552,0.0375963279806912,0.00366599748275174,0.00927440402236402,0.00689192843325294,0.00213143893336916,0.0246485794417872,0.002083315253256,0.0134926940258667,0.00433313289604502,0.0175943664015677,0.0282195876359231,0.0350669934793397,0.0109081617740424,0.0246868758127303,0.0206406975571202,0.0700543570433541,0.00343373602463834,0.0115419527118456,0.00434866599648993,0.00644650138036291,0.00500035661619477,0.0050467585432322,0.00445132790344512,0.0140087711195725,0.00567490159606346,0.00507854752329978,0.00377833473690992,0.00393081942422328,0.00569762522150457,0.00595928686754914,0.0061762772385841,0.0277832567658047,0.00550288200295326,0.00816224246600031,0.0254332032633541,0.0111609447369523,0.0227695761440439,0.0372639804900267,0.00184066349113144,0.00262206192089562,0.0597571102824241,0.00428992707175257,0.0085667838246941,0.00468820124068437,0.0045115132247797,0.00317526210657229,0.00624530370460972
"year",0.264485339105422,0.452105315235154,0.0623698126529596,0.191989798163711,0.463271123317372,0.270464511996734,0.174380920262472,0.160668907100613,0.192848290374895,0.504360093159177,0.0874914952613214,0.392809761163389,0.622218586595911,0.0586431501454929,0.0091047400652227,0.161859557982939,0.0373898572186419,0.0317342845503065,0.00891484365356759,0.18328059494533,0.339748659993125,0.540995197521449,0.227719063770336,0.0178683342544274,0.0442999314320428,0.136994146875925,0.0604637863079171,0.229789681349611,0.0289075845772205,0.0833802322038724,0.19092898122029,0.150326615577191,0.574529364725417,0.424698363984087,0.360925769481564,0.138275387676626,0.0123353781002082,0.371935661037563,0.066510140944643,0.0641228002544168,0.324483011741893,0.231539590938065,0.0118611589942076,0.357057168377509,0.0120748752456616,0.225397385441008,0.225535432011778,0.0514973007716117,0.241182516297318,0.00786867489127147,0.12047147817192,0.274008490017533,0.0426048336828789,0.36186590690974,0.0150118741697132,0.223724945093133,0.293808423890632,0.327345202878782,0.229766656193012,0.0491711272013162,0.13737693123882,0.346468358652653,0.0272000980796647,0.133556726883105,0.22763340978322,0.538233807368569,0.34453770163016,0.0454163594920407,0.274419838891272,0.57029677368408,0.00507658000126294,0.0400229749104639,0.22115965342051,0.325293963619801,0.367759653877513,0.516573624531135,0.224834265078193,0.465489977736508,0.0235586307975944,0.701016441421097,0.0162256671884745
"Random: year",0.505282484537499,0.136689954809835,0.429452056957594,0.193257240191856,0.29111756681114,0.0814278980855724,0.481571320995256,0.547687163192901,0.579943788270581,0.367506265542477,0.843961293926221,0.326246985315511,0.345526940469341,0.627022938419222,0.226206175738439,0.476280619779929,0.180703582994796,0.67132737298519,0.363520638499922,0.714489791544448,0.59209537386328,0.153506791122703,0.569638500214098,0.425535784371525,0.783806592330771,0.165231145516047,0.144030083453368,0.246715664236748,0.218571463656705,0.433850721608946,0.260060155751652,0.705511211331185,0.307645187647811,0.391707682263413,0.354332160569574,0.758395646516477,0.3964955354598,0.476567307073828,0.759628915122584,0.534475629457114,0.580054687124496,0.185166537302507,0.136728606312803,0.25091976874065,0.775379884296687,0.314972862417317,0.221473788210494,0.598504540427654,0.544347944021792,0.191290482064855,0.509871426675065,0.622943454905123,0.867620476964874,0.283649253572507,0.123043358947663,0.223509148520243,0.644161066521116,0.48691320522525,0.15954081512949,0.567483731259547,0.134165653792738,0.38055575711624,0.395308102804497,0.62028417414332,0.693956731763359,0.187322896655901,0.310805051817435,0.788649512318116,0.413315241321702,0.155003742850396,0.111357921157761,0.346569487382485,0.701221191405979,0.527339536882296,0.350422551869801,0.3052471721765,0.417017928094198,0.101577106285036,0.530897034458433,0.217525561611823,0.866686152992524
"Random: stn",0.0231121554790207,0.35315977742125,0.0261328915865725,0.00656996765243773,0.00738538324122291,0.321718226383656,0.0672640589525573,0.00402065120894676,0.0811519829370896,0.0266497539650993,0.00197641678586152,0.105136265126112,0.00140499102257085,0.0331922611434541,0.17349135548027,0.0297229549812352,0.199499031369352,0.165023832478898,0.0428394969142059,0.0152649167475826,0.00835585057161862,0.199536455457569,0.0944211959673672,0.448435072047286,0.107491585806938,0.00766237738467858,0.0525145724603338,0.171165950340224,0.0319681649770107,0.0321958232648926,0.0158553150465546,0.00934202710528529,0.00264416961263301,0.0268723951380017,0.0797578953648545,0.00394782821288647,0.319108355815096,0.0808011380495806,0.0893024160168152,0.205698125827732,0.00808608128673049,0.432551815009308,0.277628632164157,0.288161172282509,0.133331873287352,0.313422552126055,0.431006364102297,0.0735255467951091,0.0255724653041607,0.154525834997333,0.0394989583180934,0.0140196511648493,0.0161528905896982,0.0209896355525521,0.043807823727509,0.143628997939545,0.00127048585404272,0.0450327652825696,0.169724190874495,0.0784096079731812,0.0195159490707235,0.00834455752614296,0.0343527035514728,0.0608519843885625,0.00745906550990934,0.190448616045717,0.0922394368843975,0.0145009038026189,0.0762245014823916,0.20157087427391,0.122144960349907,0.171375675969457,0.036030013166661,0.0171648196642749,0.0574636230902597,0.0125616550840354,0.186448900334113,0.35408255953099,0.0765966107765901,0.0561339524539515,0.00972406834670884
"TjurR2",0.374623406057906,0.40206439602238,0.303308759749499,0.181143907449863,0.194045348907041,0.448320801159826,0.356178606132244,0.192450030100089,0.564021467541904,0.470500365839582,0.286588355554295,0.305338977921581,0.623472134411323,0.27729783772981,0.331265551619938,0.303385891742261,0.245869836152937,0.224147198175117,0.451140809358058,0.521800407576609,0.365564154154381,0.354532642213056,0.309443086956641,0.264745623170754,0.228762685444326,0.296794928098477,0.277710904708972,0.554052475159095,0.171854301386738,0.22672650204522,0.271884996983485,0.351077921262326,0.713400436264004,0.3088462409642,0.410647835342056,0.471991584455034,0.163688947584583,0.447666903329396,0.466836828135705,0.333795194023979,0.921532662756976,0.305585467686631,0.147916197497985,0.466285927568353,0.351166760486897,0.303097751079417,0.327120078065618,0.422238589588834,0.296356483958483,0.236035104248813,0.211058580199727,0.342698394659405,0.296359227065361,0.27864918154845,0.428847494403759,0.180202968721563,0.922715029373748,0.379039210315682,0.37921840941208,0.303357889327466,0.585378577681016,0.280242552167199,0.287578313009984,0.450894212629519,0.564657907701422,0.511890002402097,0.224246851880205,0.477207600333647,0.169590017506601,0.410066320439217,0.273805154803443,0.338725170137581,0.492178478401671,0.441338066005542,0.165763705436476,0.419354837799417,0.407771991071491,0.425323754484666,0.312843004828916,0.585006428133396,0.510148128629146
